TIG_PostNL::Enabled,Activé
TIG_PostNL::View status history,Examiner l'historique de statut
TIG_PostNL::Change confirmation,Modifier l'annonce
TIG_PostNL::Delete labels,Supprimer les étiquettes
TIG_PostNL::Create shipments,Réaliser les envois
TIG_PostNL::Print labels and confirm shipment,Imprimer et annoncer les étiquettes
TIG_PostNL::Print labels,Imprimer les étiquettes
TIG_PostNL::Confirm shipments,Annoncer les envois
TIG_PostNL::Create Parcelware export,Effectuer une exportation Parcelware
TIG_PostNL::You can use the rates you have entered for Magento's Table Rates shipping method or you can choose to enter table rates specific for the PostNL shipping method.,Vous pouvez utiliser les tarifs que vous avez indiqué pour la méthode de paiement par tableau tarifaire de Magento ou vous pouvez indiquer un tarif distinct, spécifique à la méthode d'envoi PostNL.
TIG_PostNL::Rate Source,Source tarifs
TIG_PostNL::Use Magento's Table Rates,Utilisation du tableau tarifaire Magento
TIG_PostNL::Use separate table rates for PostNL,Utilisation d'un tarif spécifique pour PostNL
TIG_PostNL::Export Rates,Exporter les tarifs
TIG_PostNL::Import Rates,Importer les tarifs
TIG_PostNL::You can import and export rates on the website scope. You can change your current scope with the dropdown at the top left of this page.,Vous pouvez importer et exporter les tarifs au niveau du site Internet. Vous pouvez adapter le niveau actuel de configuration avec le champ de sélection en haut à gauche de cette page.
TIG_PostNL::Your shipping label(s) are being prepared.,Votre/vos étiquette(s) sont en cours de préparation.
TIG_PostNL::This may take a minute. The page will refresh once this is done.,Cela peut prendre un certain temps. La page sera actualisée une fois le processus terminé.
TIG_PostNL::View the user manual.,Consultez le manuel de l'utilisateur
TIG_PostNL::User manual,Manuel de l'utilisateur
TIG_PostNL::Delivery options theme,Thème des options de livraison
TIG_PostNL::You can view an example of the different themes <a href="http://kb.tig.nl/topic/58787233" target="_blank" title="PostNL delivery option themes">here</a>.,Vous pouvez consulter un exemple des différents thèmes <a href="http://kb.tig.nl/topic/58787233" target="_blank" title="PostNL bezorgopties thema's">ici</a>.
TIG_PostNL::Default PostNL theme,Thème standard PostNL
TIG_PostNL::Neutral theme,Thème neutre
TIG_PostNL::PostNL account,Compte PostNL
TIG_PostNL::Show PostNL account notification on the order success page,Afficher la mention du compte PostNL sur la page de réussite de la commande
TIG_PostNL::This will cause a notification to be shown to customers after they have placed their order. The message may either inform the customer about PostNL accounts or the PostNL app.,Si ce paramètre est activé, une mention sera affichée pour le client après avoir passé la commande. Cette mention informera le client sur les avantages d'un compte PostNL ou sur l'appli PostNL.
TIG_PostNL::Show create PostNL account link,Afficher un lien de création d'un compte PostNL
TIG_PostNL::If enabled, customers who do not yet have a PostNL account will be shown a link through which they can create a PostNL account without having to fully fill in the registration form.,Si ce paramètre est activé, un lien sera affiché pour le client qui n'a pas encore de compte PostNL. Le client pourra alors créer rapidement un compte PostNL sans devoir compléter l'ensemble du formulaire d'enregistrement.
TIG_PostNL::Show PostNL app link,Afficher un lien vers l'application PostNL
TIG_PostNL::If enabled, customers who already have a PostNL account will be informed about the PostNL app with which they can easily track their order.,Si ce paramètre est activé, un lien vers l'appli PostNL sera affiché pour les clients qui dispose déjà d'un compte PostNL.
TIG_PostNL::Loading PostNL data...,Collecte des données PostNL...
TIG_PostNL::Your preferred address has been loaded from your MijnPakket account and set as your billing and shipping address. You may now choose a shipping method and complete your order.,L'adresse que vous avez enregistrée dans votre compte Mijnpakket en tant qu'adresse de préférence est reprise comme adresse d'envoi et de facturation. Vous pouvez choisir une option de livraison et terminer votre commande.
TIG_PostNL::Checkout using PostNL,Paiement avec PostNL.
TIG_PostNL::Log in with your PostNL account to automatically use your preferred address.,Connectez-vous avec votre compte PostNL pour utiliser automatiquement votre adresse de préférence.
TIG_PostNL::If you have a PostNL account you can use the button below to log in to your account. When you log in to your PostNL account the webshop will read your preferred address and select it as your billing and shipping address. You can change this address in the forms below.,Si vous avez un compte PostNL, vous pouvez vous connecter via ce bouton. Quand vous faites cela, le webshop utilisera votre adresse de préférence de manière standard comme adresse d'envoi et de facturation. Naturellement, vous pouvez adapter cela s'il doit s'agir d'une autre adresse.
TIG_PostNL::PostNL account login will only be available to customers who have a PostNL account. This will be automatically detected.,Le login du compte PostNL n'est disponible que pour les clients qui disposent d'un compte PostNL. Ceci est détecté automatiquement.
TIG_PostNL::Create a new MijnPakket account.,Créer un nouveau compte MijnPakket.
TIG_PostNL::Download the PostNL MijnPakket app,Téléchargement de l'appli Mijnpakket.
TIG_PostNL::Unfortunately MijnPakket login is currently not available. Please use a different checkout method.,Le login Mijnpakket n'est malheureusement pas disponible pour l'instant. Veuillez choisir une autre méthode de paiement.
TIG_PostNL::Enable PostNL account login,Activer le login du compte PostNL
TIG_PostNL::You can use this button to validate your account settings without saving the configuration. This will send a 'test' request to PostNL. If the above fields are not entered correctly, this will result in an error. Please note that the PostNL extension must be active for the validation to succeed. <br />Please note that the webshop ID and public webshop ID fields will not be validated. Only your CIF credentials will be checked.,Vous pouvez utiliser ce bouton pour valider les données du compte sans enregistrer la configuration. Une demande « test » sera envoyée à PostNL. Si les champs ci-dessus ne sont pas correctement complétés, vous recevrez un message d'erreur. L'extension PostNL doit être active.<br />N.B. : l'identifiant de votre webshop et l'identifiant public de votre webshop ne seront pas validés. Seules les données de votre compte CIF seront contrôlées.
TIG_PostNL::Maximum number of delivery days,Nombre jours de livraison maximum
TIG_PostNL::Submit how many days in the future after the first delivery moment your customers can choose to receive their orders.,Indiquez ici combien de jours après le premier moment de livraison le client peut recevoir sa commande à l'avenir.
TIG_PostNL::Post Office Address,Adresse du bureau de poste
TIG_PostNL::Choose printing start position,Choisir la position de départ de l'imprimante
TIG_PostNL::When printing multiple labels simultaneously you may choose where the printer will start printing. All fields marked orange will be used. The printer will start at position 1 on all pages after the first.,Lorsque vous imprimez plusieurs étiquettes en même temps, vous pouvez indiquer où l'imprimante doit commencer sur la page. L'imprimante commencera en position 1 pour toutes les pages suivant la première.
TIG_PostNL::Click on the field where you would like the printer to start. All orange coloured fields will be used as long as you have selected sufficient shipments to fill these fields.,Cliquez sur un champ pour le sélectionner comme position de départ pour l'imprimante. Tous les champs en orange seront remplis, si vous avez sélectionné suffisamment d'envois.
TIG_PostNL::Show on the map,Afficher sur la carte
TIG_PostNL::Magento Community Edition,Édition Magento Community
TIG_PostNL::Magento Enterprise Edition,Édition Magento Entreprise
TIG_PostNL::Idev's OneStepCheckout version,Version OneStepCheckout d'Idev
TIG_PostNL::choose a different shipping address,choisir une autre adresse d'expédition
TIG_PostNL::PHP, Magento & 3rd party version compatibility,Compatibilité de la version PHP, Magento & 3rd party
TIG_PostNL::PostNL - Confirm Shipment,PostNL - Annoncer l'envoi
TIG_PostNL::Always stay informed? Click %shere%s to create a PostNL account based on your order details.,Toujours informé ? Cliquez %sici%s pour créer directement un compte PostNL sur base de votre commande.
TIG_PostNL::Track your shipment's current status and whereabouts,Suivez le statut actuel de votre envoi
TIG_PostNL::Change the delivery time and place if you are not at home,Modifier le lieu et le moment de livraison si vous êtes absent
TIG_PostNL::All your shipments available in a single overview,Tous vos colis repris dans un aperçu clair
TIG_PostNL::Always stay informed? Download the PostNL app.,Toujours informé ? Téléchargez maintenant l'application PostNL.
TIG_PostNL::The customer was redirected to the cart because the quote was empty.,Le client a été renvoyé vers le panier, car le quote était vide.
TIG_PostNL::The customer was redirected to the cart because the quote had the following error(s): %s.,Le client a été renvoyé vers le panier, car le quote contenait les erreurs suivantes : %s.
TIG_PostNL::The customer was redirected to the cart because the quote is multishipping.,Le client a été renvoyé vers le panier, car le quote est destiné au multishipping.
TIG_PostNL::more delivery times and pick-up locations,davantage de moments de livraison et de points de retrait
TIG_PostNL::Select this checkbox to only show post office locations that are open as early as 8:30 A.M.,Activez ce filtre pour afficher uniquement les points de retrait à l'aube (à partir de 8h30).
TIG_PostNL::Select this checkbox to only show post office locations that are open after 7:00 P.M. on the next possible delivery date.,Activez ce filtre pour afficher uniquement la localisation des bureaux qui sont ouverts le soir après 19h le jour de livraison suivant.
TIG_PostNL::COD,Envoi contre remboursement
TIG_PostNL::COD + Extra cover,Envoi contre remboursement + Augmentation de responsabilité
TIG_PostNL::COD + Return when not home,Envoi contre remboursement + Retour en cas d'absence
TIG_PostNL::COD + Extra cover + Return when not home,Envoi contre remboursement + Retour en cas d'absence + Augmentation de responsabilité
TIG_PostNL::Post Office + COD,Bureau de poste + Envoi contre remboursement
TIG_PostNL::Post Office + COD + Notification,Bureau de poste + Envoi contre remboursement + Notification
TIG_PostNL::Post Office + COD + Extra Cover,Bureau de poste + Envoi contre remboursement + Augmentation de responsabilité
TIG_PostNL::Post Office + COD + Extra Cover + Notification,Bureau de poste + Envoi contre remboursement + Augmentation de responsabilité + Notification
TIG_PostNL::This order has been automatically invoiced by the PostNL COD payment method.,Cette commande est automatiquement facturée par la méthode de paiement « envoi contre remboursement » de PostNL.
TIG_PostNL::Cannot create an invoice without products.,Une facture ne peut pas être réalisée sans produit.
TIG_PostNL::Order item #%s could not be invoiced.,La commande #%s n'a pas pu être facturée.
TIG_PostNL::Unable to create an invoice for this shipment due to the order missing.,Aucune facture n'a pu être réalisée pour cet envoi, car la commande est manquante.
TIG_PostNL::Unable to create an invoice for this shipment because the order cannot be invoiced.,Aucune facture n'a pu être réalisée pour cet envoi, car la commande ne peut pas être facturée.
TIG_PostNL::An error occurred while creating an invoice for this shipment.,Une erreur est survenue lors de la réalisation de la facture pour cet envoi.
TIG_PostNL::PostNL COD,Envoi contre remboursement PostNL
TIG_PostNL::Activate an extra payment method with COD shipments.<br/>Please note: In order to offer COD shipments to your customers you will need to complete the fields below and activate an extra payment method <a href="%s" target="_blank">here</a>.<br />PostNL COD is only available for Dutch orders.,Avec l'envoi contre remboursement, vous activez une méthode de paiement supplémentaire pour vos clients.<br/>Attention : si vous souhaitez utiliser l'envoi contre remboursement, vous devez configurer <a href="%s" target="_blank">ici</a> la méthode de paiement, outre les champs ci-dessous. L'envoi contre remboursement PostNL est uniquement disponible pour les commandes néerlandaises.
TIG_PostNL::Bankaccount name,Nom du compte bancaire
TIG_PostNL::Bankaccount IBAN,IBAN du compte bancaire
TIG_PostNL::Bankaccount BIC,BIC du compte bancaire
TIG_PostNL::Automatically create an invoice,Facturation automatique
TIG_PostNL::If enabled, this will allow the PostNL COD payment method to automatically create an invoice once a shipment has been delivered.,Si cette option est activée, les commandes qui sont placées avec la méthode de paiement « envoi contre remboursement PostNL » seront automatiquement facturées après la livraison de l'envoi concerné.
TIG_PostNL::Bankaccount credentials,Coordonnée du compte bancaire
TIG_PostNL::PostNL Cash on Delivery,Envoi contre remboursement PostNL
TIG_PostNL::Enable or disable the PostNL Cash on Delivery payment method.,Activer la méthode de paiement « envoi contre remboursement » de PostNL.
TIG_PostNL::Title,Titre
TIG_PostNL::New order status,Nouveau statut de commande
TIG_PostNL::Newly placed orders will have this status.,Les nouvelles commandes obtiendront ce statut.
TIG_PostNL::Instructions,Instructions
TIG_PostNL::This text will be shown to customers when they choose this payment method.,Ce texte sera affiché pour le client quand il opte pour cette méthode de paiement.
TIG_PostNL::Html tags are allowed in this field.,Html est autorisé dans ce champ.
TIG_PostNL::Payment from applicable countries,Autoriser les paiements de pays spécifiques
TIG_PostNL::Payment from specific countries,Pays autorisés
TIG_PostNL::Minimum order total,Montant de commande minimum
TIG_PostNL::Maximum order total,Montant de commande maximum
TIG_PostNL::Allow for non-PostNL orders,Autorisation pour les commandes non-PostNL
TIG_PostNL::Sort order,Ordre de tri
TIG_PostNL::Set this option to 'yes' to allow orders placed using a different shipping method than PostNL to use this payment method.,Réglez cette option sur « oui » pour offrir cette méthode de paiement également pour les commandes qui n'ont pas recours à la méthode d'envoi PostNL.
TIG_PostNL::Send a copy of the track & trace email,Envoyer une copie de l'e-mail Track & Trace
TIG_PostNL::If enabled, you may enter separate email addresses to which the track & trace email will be sent in addition to the customer.,Si vous activez cette option, une copie de l'e-mail Track & Trace sera envoyée aux adresses e-mails fournies.
TIG_PostNL::Send track & trace email copy to,Envoyer une copie de l'e-mail Track & Trace à
TIG_PostNL::You can enter multiple email addresses separated by commas.,Vous pouvez indiquer plusieurs adresses e-mail en les séparant par des virgules.
TIG_PostNL::Track & trace email copy method,Méthode de copie de l'e-mail Track & Trace
TIG_PostNL::PostNL configuration.,Configuration PostNL
TIG_PostNL::A required configuration value is missing: %s.,Une valeur obligatoire à la configuration fait défaut : %s.
TIG_PostNL::Delivery options are not allowed for product #%s.,Les options de livraison ne sont pas autorisées pour le produit #%s.
TIG_PostNL::Cannot create an invoice without products.,Aucune facture ne peut être créée sans produit.
TIG_PostNL::Order item #%s could not be invoiced.,La commande #%s n'a pas pu être facturée.
TIG_PostNL::Unable to create an invoice for this shipment due to the order missing.,Aucune facture n'a pu être réalisée pour cet envoi, car la commande est manquante.
TIG_PostNL::Unable to create an invoice for this shipment because the order cannot be invoiced.,Aucune facture n'a pu être réalisée pour cet envoi, car la commande ne peut pas être facturée.
TIG_PostNL::An error occurred while creating an invoice for this shipment.,Une erreur est survenue lors de la réalisation de la facture pour cet envoi.
TIG_PostNL::No valid shipment type found for order #%s,Aucun envoi valide trouvé pour cette commande #%s.
TIG_PostNL::Print packing slips,Imprimer les fiches de colisage
TIG_PostNL::PostNL - Print packing slips,PostNL - Imprimer les fiches de colisage
TIG_PostNL::Products,Produits
TIG_PostNL::SKU,SKU
TIG_PostNL::VAT,TVA
TIG_PostNL::No valid order available for packing slip.,Aucune commande valide pour le bon de colisage
TIG_PostNL::CoC,CCI
TIG_PostNL::Customer number,Numéro de client
TIG_PostNL::Billing address,Adresse de facturation
TIG_PostNL::Shipping address,Adresse d'envoi
TIG_PostNL::Order date,Date de commande
TIG_PostNL::Payment method,Méthode de paiement
TIG_PostNL::Shipping method,Méthode d'envoi
TIG_PostNL::Ship order on,Colis envoyé le
TIG_PostNL::Packing slip,Fiche de colisage
TIG_PostNL::Order,Commande
TIG_PostNL::Post office address,Adresse du bureau de poste
TIG_PostNL::Invalid label type supplied for packing slip label pdf: %s.,Modèle d'étiquette invalide pour le PDF de l'étiquette de la fiche de colisage : %s
TIG_PostNL::Approaching memory limit for this operation. Please select fewer shipments and try again.,Limite de mémoire atteinte. Veuillez sélectionner moins d'envois et réessayer.
"TIG_PostNL::Label, Packing Slip and Weight Settings","Étiquette, Fiche de colisage en Paramètres de poids"
TIG_PostNL::Here you decide which information you would like to show on shipping labels and packing slips. The weight unit and the maximum weight of a package are also configured from here.,Choisissez ici quelles informations doivent figurer sur les étiquettes et les fiches de colisage. Vous pouvez aussi indiquer ici quelles unités de poids vous utilisez.
TIG_PostNL::Logo for packing slips,Logo de la fiche de colisage
TIG_PostNL::The image will automatically be resized to fit the maximum dimensions of 900x100px.,L'image sera automatiquement mise à l'échelle, afin qu'elle s'adapte aux dimensions maximum (900x100px).
TIG_PostNL::Show webshop information,Afficher les informations du webshop
TIG_PostNL::If enabled, the shop's name, contact address, CoC and VAT numbers will be displayed on the packing slip.,En cas d'activation, le nom du webshop, l'adresse de contact, la CCI et le numéro de TVA seront affichés sur la fiche de colisage.
TIG_PostNL::CoC number,Numéro CCI
TIG_PostNL::VAT number,Numéro de TVA
TIG_PostNL::Show customer number,Afficher le numéro de client
TIG_PostNL::If enabled, the customer ID will be printed on the packing slip for registered customers.,En cas d'activation, le numéro de client sera affiché pour les clients enregistrés.
TIG_PostNL::Show billing address,Afficher l'adresse de facturation
TIG_PostNL::Show shipping address,Afficher l'adresse d'envoi
TIG_PostNL::Show post office address,Afficher l'adresse du bureau de poste
TIG_PostNL::Show order information,Afficher les informations de commande
TIG_PostNL::If enabled, the order ID, shipment ID and order date will be shown on the packing slip.,En cas d'activation, l'identifiant de la commande, l'identifiant d'envoi et la date de la commande seront affichés sur la fiche de colisage.
TIG_PostNL::Show payment method,Afficher la méthode de paiement
TIG_PostNL::Show shipping method,Afficher la méthode d'envoi
TIG_PostNL::Show shipping date,Afficher la date d'envoi
TIG_PostNL::Show shipment totals,Afficher le montant total de l'envoi
TIG_PostNL::Show shipment comment,Afficher les remarques de l'envoi
TIG_PostNL::Comment type,Modèle de remarque
TIG_PostNL::You can choose to show a static, pre-configured message or you can show the last visible comment added to the shipment on the shipment detail page.,Vous pouvez choisir d'afficher un message statique pré-configuré ou d'afficher la dernière remarque visible ajoutée pour l'envoi.
TIG_PostNL::Comment text,Texte de la remarque
TIG_PostNL::Show shipping label,Afficher l'étiquette d'envoi
TIG_PostNL::If you select 'on the same page' in some cases the shipping label may not fit. In this case, the shipping label will be printed on a separate page instead.,Si vous optez pour « sur la même page », il se peut que l'étiquette d'envoi ne s'adapte pas. Dans ce cas, l'étiquette sera tout de même imprimée sur une page distincte.
TIG_PostNL::Pre-configured message,Message pré-configuré
TIG_PostNL::Last shipment comment (as shown on the shipment detail page),Dernière remarque de l'envoi (comme affiché sur la page de détail de l'envoi)
TIG_PostNL::None of the orders you have selected have any associated shipments. Please choose at least one order that has a shipment.,Aucune des commandes sélectionnées ne comprend un envoi. Veuillez choisir au moins une commande qui reprend un envoi.
TIG_PostNL::Print packing slips,Imprimer les fiches de colisage
TIG_PostNL::Download PostNL log files,Télécharger les fichiers log PostNL
TIG_PostNL::No valid log files were found.,Aucun fichier log valide trouvé.
TIG_PostNL::Log %s is too large (%.2fMB) and was skipped.,Le fichier log %s est trop volumineux (%.2fMB) et a donc été transféré.
TIG_PostNL::The total size of all log files exceeds the maximum size allowed.,Le volume total des fichiers log est supérieur au volume maximum autorisé.
TIG_PostNL::The server's memory limit is less than %.0fMB.,La limite de mémoire du serveur est inférieure à %.0fMB.
TIG_PostNL::The following shipments or orders could not be processed:,Les commandes et envois suivants ne pourront pas être traités :
TIG_PostNL::Unfortunately no shipments could be processed. Please check the error messages for more details.,Malheureusement, aucun envoi ne peut être traités. Contrôlez les messages d'erreur pour de plus amples informations.
TIG_PostNL::None of the shipments could be created. Please check the error messages for more details.,Aucun envoi n'a pu être réalisés. Contrôlez les messages d'erreur pour de plus amples informations.
TIG_PostNL::One of the following fields is required:,Un des champs suivants est obligatoire :
TIG_PostNL::or,ou
TIG_PostNL::flat rate,tarif fixe
TIG_PostNL::table rate,tableau tarifaire
TIG_PostNL::Display PostNL COD fee,Afficher le supplément de l'envoi contre remboursement
TIG_PostNL::PostNL COD fee,Supplément de l'envoi contre remboursement PostNL
TIG_PostNL::Tax class for PostNL COD fee,Classe TVA pour le supplément de l'envoi contre remboursement PostNL
TIG_PostNL::Whether the PostNL COD fee you have entered is incl. or excl. tax.,Le supplément de l'envoi contre remboursement PostNL est indiqué TVAC ou HTVA.
TIG_PostNL::This tax class will be used when calculating the tax for the PostNL COD fee.,Cette classe TVA sera utilisée pour calculer la TVA sur le supplément de l'envoi contre remboursement PostNL.
TIG_PostNL::Fee,Supplément
TIG_PostNL::This fee will be charged to the customer when they choose to pay using PostNL COD.,Ce supplément sera facturé au client quand il opte pour la méthode de paiement « envoi contre remboursement » PostNL.
TIG_PostNL::Fee label,Étiquette supplément
TIG_PostNL::This label will be displayed next to the fee on the checkout, order, invoice and creditmemo pages and pdfs.,Cette étiquette sera affichée à côté du supplément sur les pages de paiement, commande, facturation et crédit.
TIG_PostNL::<p>If you have configured a fee in the field below, you may use '%s' in the title. This will be replaced with the fee amount in the customer's chosen currency.</p><p>I.e. If the fee is 17.45 EUR and the title you have entered is "PostNL COD (+%s)" then the title will show "PostNL COD (+€17,45)". If the customer has chosen to pay in USD, the title will show "PostNL COD (+$23.73)" instead.</p>,<p>Si vous avez indiqué un supplément dans le champ ci-dessous, vous pouvez utiliser le texte "%s" dans le titre. Cela sera remplacé par le supplément dans la devise de facturation du client.</p><p>Par exemple : le supplément est de 17,45 euros et le titre que vous avez indiqué est « Envoi contre remboursement PostNL (+%s) ». Le titre de la méthode de paiement sera affiché comme suit « Envoi contre remboursement PostNL (+€17,45) ». Si le client a choisi de payer en USD, le titre affiché sera « Envoi contre remboursement PostNL (+$23.73) ».</p>
TIG_PostNL::Send date,Date d'envoi
TIG_PostNL::Optional order grid columns,Colonnes optionnelles pour l'aperçu de la commande
TIG_PostNL::Selecting too many columns may cause the order grid to no longer fit on your monitor.,Si vous sélectionnez trop de colonnes, cela peut mener à ce que l'aperçu ne s'adapte plus à votre écran.
TIG_PostNL::Delivery option,Option de livraison choisie
TIG_PostNL::Requested delivery date,Indication du jour de livraison
TIG_PostNL::Shipping phase,Phase d'envoi
TIG_PostNL::No order found for PostNL shipment #%d.,Aucune commande trouvée pour l'envoi PostNL #%d.
TIG_PostNL::Select a default option for the order grid mass action.,Sélectionnez une valeur standard pour l'action de masse pour l'aperçu de commande.
TIG_PostNL::No shipments found,Aucun envoi trouvé
TIG_PostNL::Letter box parcel options,Options paquet
TIG_PostNL::Default letter box parcel option,Option standard paquet
TIG_PostNL::This setting can be overwritten by manually creating shipments. This option is only applicable to letter box parcel shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois. Ce paramètre est uniquement applicable pour les envois de paquets.
TIG_PostNL::Is letter box parcel,Il s'agit d'un paquet
TIG_PostNL::Use default option,Utilisation d'une valeur standard
TIG_PostNL::Letter Box Parcel,Paquet
TIG_PostNL::Letter Box Parcel Extra,Supplément paquet
TIG_PostNL::It is not possible to create partial shipments for orders placed using PostNL COD. Please create only full shipments.,Il n'est pas possible de réaliser des envois partiels pour les commandes passées avec l'envoi contre remboursement PostNL. Veuillez réaliser uniquement des envois complets.
TIG_PostNL::The given value must be a multiple of 500.,La valeur indiquée doit être un multiple de 500.
TIG_PostNL::The addTrackingCodeToShipment action is currently unavailable.,L'action addTrackingCodeToShipment est actuellement indisponible.
TIG_PostNL::This shipment does not need to be confirmed.,Cet envoi ne doit pas être annoncé.
TIG_PostNL::Show letter box parcel option in order grid,Afficher l'option paquet dans l'aperçu de la commande
TIG_PostNL::This will add the option to mark shipments as being letter box parcels when creating shipments from the order grid.,Ceci ajoute l'option de marquer les commandes comme des paquets quand des envois sont réalisés depuis l'aperçu de commande.
TIG_PostNL::Calculation mode,Mode de calcul
"TIG_PostNL::You can let the PostNL extension calculate automatically whether a shipment would fit in a mail slot or you can manually determine this when creating shipments in the backend. If set to 'automatic' the PostNL extension will check the 'Weight' and 'PostNL Max Qty For Letter Box Parcels' of all products in an order to determine whether the shipment would fit through a mail slot. You may always overrule this and manually set whether a shipment is a letter box parcel or not.,Vous pouvez laisser l'extension PostNL déterminer automatiquement si un envoi convient à la boîte aux lettres ou vous pouvez l'indiquer manuellement quand vous réaliser les envois. Si ce paramètre est réglé sur « automatique », l'extension utilisera les attributs du produits « Poids » et « Volume maximum PostNL pour les paquets » afin de déterminer si un envoi convient à une boîte aux lettres. Vous pouvez toujours indiquer vous-même si un envoi est un paquet lors de la réalisation manuelle de l'envoi."
TIG_PostNL::Use letter box parcels,Utilisation des paquets
TIG_PostNL::If you disable this field all shipments will be considered regular package shipments.<br/>It is very important that you have correctly configured all products when using letter box parcels. Orders weighing more than <strong>2kg</strong> or are larger than <strong>38 x 26.5 x 3.2 cm</strong> cannot be shipped as letter box parcels.,Si vous activez ce paramètre, tous les envois seront considérés comme des envois de colis ordinaires.<br/>Il est essentiel que vous configuriez correctement tous les produits si vous souhaitez utiliser les paquets. Les commandes qui pèsent plus de <strong>2kg</strong> ou qui sont plus grandes que <strong>38 x 26,5 x 3,2 cm</strong> ne peuvent pas être livrées en tant que paquets.
TIG_PostNL::Manual,Manuel
TIG_PostNL::Automatic,Automatique
TIG_PostNL::This shipment will probably fit as a letter box parcel.,Cet envoi convient certainement à une boîte aux lettres.
TIG_PostNL::This shipment will probably not fit as a letter box parcel.,Cet envoi ne convient certainement pas à une boîte aux lettres.
TIG_PostNL::Letter box qty,Volume du paquet
TIG_PostNL::No Confirmation Required,Aucune annonce nécessaire.
TIG_PostNL::The following options are only for COD orders.,Les options suivantes sont uniquement applicables pour les commandes d'envoi contre remboursement.
TIG_PostNL::Default COD shipping option,Option d'envoi standard contre remboursement
TIG_PostNL::This setting may be overwritten by manually creating shipments. This option is only applicable to domestic COD shipments.,Ce paramètre peut être remplacé par une réalisation manuelle de l'envoi. Ce paramètre est uniquement applicable pour les envois nationaux contre remboursement.
TIG_PostNL::Default evening COD delivery shipping option,Option standard d'envoi contre remboursement avec livraison le soir
TIG_PostNL::This setting may be overwritten by manually creating shipments. This option is only applicable to domestic evening delivery shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois. Cette option est uniquement applicable pour les envois contre remboursement livrés en soirée.
TIG_PostNL::Default 'deliver at the Post Office' COD option,Option standard « retrait au bureau de poste » pour l'envoi contre remboursement
TIG_PostNL::This setting can be overwritten by manually creating shipments. This option is only applicable to Post Office COD shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois. Ce paramètre est uniquement applicable pour les envois en bureau de poste contre remboursement.
TIG_PostNL::Default early post office pickup COD option,Options standard de retrait à l'aube pour l'envoi contre remboursement
TIG_PostNL::This setting can be overwritten by manually creating shipments. This option is only applicable to early pickup Post Office COD shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois. Cette option est uniquement applicable pour les retraits à l'aube au bureau de poste pour les envois contre remboursement.
TIG_PostNL::It appears the PostNL username and/or password you have entered is incorrect.,Nom d'utilisateur/mot de passe PostNL invalide.
TIG_PostNL::Your PostNL account is unfortunately not allowed to perform this action. Please contact PostNL.,Votre compte PostNL ne dispose malheureusement pas des droits nécessaires pour réaliser cette action. Veuillez contacter PostNL.
TIG_PostNL::Unfortunately you have exceeded the maximum amount of PostNL requests you may send each minute. Please wait a few minutes and try again. If this problem persists, please contact PostNL.,Vous avez malheureusement dépassé le nombre maximal d'actions PostNL par minute. Veuillez attendre quelques minutes et réessayer. Si le problème persiste, prenez contact avec PostNL.
TIG_PostNL::This PostNL service is currently disabled. Please contact PostNL.,Ce service PostNL est actuellement déconnecté. Veuillez prendre contact avec PostNL.
TIG_PostNL::There was a problem connecting to PostNL's services. This may be due to a timeout. Please wait a few minutes and try again. If this problem persists, please contact PostNL.,Une erreur est survenue au niveau de la connexion avec PostNL. Ceci peut être dû à une expiration de la connexion. Veuillez attendre quelques minutes et réessayer. Si le problème persiste, prenez contact avec PostNL.
TIG_PostNL::Your PostNL customer code appears to be incorrect. Please make sure you have entered the correct code.,Votre code client PostNL est incorrect. Veuillez contrôler si votre code client est bien introduit.
TIG_PostNL::The total size of all PostNL logs exceeds %.0fMB!,Le volume total de l'ensemble des fichiers log PostNL est supérieur à %.0fMB !
TIG_PostNL::We recommend you disable logging and remove these log files.,Nous recommandons une désactivation et une suppression des fichiers log.
TIG_PostNL::Create shipments, print labels and confirm,Réaliser des envois, imprimer des étiquettes d'envoi et annoncer
TIG_PostNL::The PostNL extension requires at least %.0fMB to function properly. Using the PostNL extension on servers with less memory than this may cause unexpected errors.,L'extension PostNL exige une mémoire minimale de %.0fMB pour un fonctionnement correct. L'utilisation de l'extension PostNL sur les serveurs avec moins de mémoire peut provoquer des erreurs inattendues.
TIG_PostNL::This may cause unexpected behaviour. You may use the PostNL extension on unsupported versions of Magento at your own risk.,Cela peut provoquer des problèmes inattendus. L'utilisation de l'extension PostNL sur des versions non soutenue de Magento se fait à vos risques et périls.
TIG_PostNL::You can read the release notes in the <a href="%s" target="_blank" title="TIG knowledgebase">TIG knowledgebase</a>.,Vous pouvez consulter les notes de version dans la <a href="%s" target="_blank" title="TIG knowledgebase">base de connaissances TIG</a>.
TIG_PostNL::hour,heure
TIG_PostNL::minutes,minutes
TIG_PostNL::Delivery date:,Date de livraison
TIG_PostNL::(evening),(soir)
TIG_PostNL::(from 8:30 A.M.),(à partir de 8h30)
TIG_PostNL::PostNL Max Qty For Letter Box Parcels,Volume max. PostNL pour un paquet
TIG_PostNL::PostNL Allow Delivery Options,PostNL autorise les options de livraison
TIG_PostNL::PostNL Shipping Duration,Délai d'arrivée PostNL
